Movie Name,Duration,IMdb rating,Rating,Description,Votes,Poster,Month of Release
1. Vindhya Victim Verdict V3,2h 7m,7.6,595,"V3 is a fight for their rights and against an injustice on a gang rape-murder and encountered case, achieving a poetic justice with the help of the system which fails initially due to the undue pressure of representatives and thy people",595,"https://m.media-amazon.com/images/M/MV5BYTE5YjVlNDItNjQ0ZC00YTIyLWE2YjYtOGUyNTIzNTQzODZmXkEyXkFqcGdeQXVyMjA1MTA3MjY@._V1_QL75_UY207_CR2,0,140,207_.jpg",January
2. Thunivu,2h 26m,6.1,29K,A mysterious mastermind - Daredevil and his team forms a plan and commits bank heist to find the corporate looted people's money.,"28,737","https://m.media-amazon.com/images/M/MV5BY2M0ODYyOGEtZWMyMC00NWM5LWJiNjEtNjBlYTEzNGZjOTk0XkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_QL75_UY207_CR4,0,140,207_.jpg",January
3. Varisu,2h 49m,6,37K,"Vijay Rajendran is a happy to-go lucky man. Things change when his father becomes terminally ill, and he is left to manage his business empire.","36,755","https://m.media-amazon.com/images/M/MV5BMjE4YjgyMGQtMWM0MS00MGVjLTlmNzYtMTNiNGY1NTNlZjJiXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR7,0,140,207_.jpg",January
4. Oangaram,1h 52m,,,,,,January
5. Vallavanukkum Vallavan,2h 47m,7.5,13,"Two conmen, who believe that money can solve all their problems, decide to extract money from wrongdoers. Trouble begins when a mad policeman crosses their way.",13,"https://m.media-amazon.com/images/M/MV5BZGRkMGQyNGItMDU3Yy00YzE2LWFmYWItZTM0M2YzZWZhYjQ4XkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_QL75_UX140_CR0,6,140,207_.jpg",January
6. Adai Mazhai Kaalam,2h 25m,6.5,207,A tale of a young man and the journey of Love in his life to understand the meaning of eternal love and its purpose. An emotional roller coaster presented with a touch of fantasy .,207,"https://m.media-amazon.com/images/M/MV5BMjhhMGNiNWMtNTI1OS00M2YyLTk1ZDAtN2U5ZmNiNjE3ODk0XkEyXkFqcGdeQXVyMTUzMDA3Mjc2._V1_QL75_UX140_CR0,1,140,207_.jpg",January
7. Beginning,1h 51m,7.9,119,Two people -An autistic teenager living with his mother and A young woman abducted by an unknown group.,119,"https://m.media-amazon.com/images/M/MV5BODcyYjliZjQtNzA1NS00NjUzLThhYTItY2Y5ODAxZmYzOTMxXkEyXkFqcGdeQXVyMTUzNTgzNzM0._V1_QL75_UX140_CR0,5,140,207_.jpg",January
8. MeippadaSei,2h 3m,9.6,55,"Four ignorant boys were surviving their life with the support of parents in Tanjore village, one of them (Muthupandi) falling in love, thereby, opposition occurring, cause of lower and upper casting and racism,",55,"https://m.media-amazon.com/images/M/MV5BMWFjNGU0YTMtMDVkZi00OTMzLThiMmUtMzBlMDIyMTk3MDFiXkEyXkFqcGdeQXVyMTA4MzQ4NzMw._V1_QL75_UX140_CR0,6,140,207_.jpg",January
9. Karparaa,1h 11m,,,"An elderly bedridden couple hailing from a small village. Lives apart from each other in their son's houses.The space of love shrivels and oscillates between the couple and their families. This own selves clash with the generation that had lived with harmony in the diverse nature. The west summer wind blows, unraveling the buried memories of life and the land of the couple.",,"https://m.media-amazon.com/images/M/MV5BOTNiZDE3ZTAtNjNjYi00ZGQ4LWE3N2UtNTU3ZWFlNjBhZDVlXkEyXkFqcGdeQXVyMTUwNDcyMjY0._V1_QL75_UY207_CR3,0,140,207_.jpg",February
10. Run Baby Run,2h 11m,6.3,1.3K,A carefree Sathya faces a race against time after becoming involved in a complex murder investigation.,"1,340","https://m.media-amazon.com/images/M/MV5BZGMxYjk2NDQtNDIwNC00MjMyLTg5YjYtNGViYTA0Yzk2Yjg0XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR3,0,140,207_.jpg",February
11. Thalaikoothal,2h 20m,7.4,360,"A man's long battle to save his comatose father is met with financial obstacles, and with his family suggesting euthanasia as the best possible option. What will he do?",360,"https://m.media-amazon.com/images/M/MV5BOTliZjY3NTEtNDJkOC00ZjRkLWExMWYtOGE1NDc2ZjU0NWE3XkEyXkFqcGdeQXVyMzI4MzEwNQ@@._V1_QL75_UY207_CR34,0,140,207_.jpg",February
12. The Great Indian Kitchen,1h 40m,5.7,527,"Post her marriage, a woman tries to fit into the conventional mould that society has prescribed for married women. But somewhere along the way, she starts feeling that this is not the life she wants.",527,"https://m.media-amazon.com/images/M/MV5BM2RjYzA0NWMtNmY0Yi00NTJlLWIwMTEtZDY1ODJkOWRlM2I5XkEyXkFqcGdeQXVyMTY0MDk0NjE3._V1_QL75_UY207_CR2,0,140,207_.jpg",February
13. Michael,2h 32m,5,1.5K,The gang fighting over places. A youngster decides to gain control of the area. Can he complete his dream of ruling over the place?,"1,477","https://m.media-amazon.com/images/M/MV5BYjlkY2E0MzYtOTk3My00N2JmLTlmZjktNmFlMGMyYWM1YjM3XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY207_CR23,0,140,207_.jpg",February
14. Bommai Nayagi,2h 3m,7.6,661,A touching emotional connection between a father and daughter and how politics and society impact their way of life.,661,"https://m.media-amazon.com/images/M/MV5BZTg1ODgxNDItMThiNy00NDNmLWEyOGQtZjlkNTMzNWViM2I5XkEyXkFqcGdeQXVyMTU3MTM3Mjk1._V1_QL75_UX140_CR0,6,140,207_.jpg",February
15. Naan Kadavul Illai,2h 18m,7.9,44,"A tiny orphan girl writes a letter to God requesting new clothes, Mr. Jothilingam, a businessman, received the letter at random and sends it to her. Uma writes a letter to God to save her family from evil. Will God grant her request?",44,"https://m.media-amazon.com/images/M/MV5BYmVmOGVmNDMtMjhhMS00OGQ4LWFhYjctMzg3M2Y3Njc2MmJlXkEyXkFqcGdeQXVyMTQ0MTIzNDQw._V1_QL75_UX140_CR0,1,140,207_.jpg",February
16. Thallipogathey,2h,,,Karthik is a happy go lucky guy until he meets the beautiful Divya. They hit it off right away and Karthik thinks he finally found the girl of his dream until he realizes she is the biggest problem he ever face.,,"https://m.media-amazon.com/images/M/MV5BNWY4ZjhiZDQtNDI4OS00NjQzLWI0MDQtM2U1NDc0YjcyZGU4XkEyXkFqcGdeQXVyMTU2NjY0NzY1._V1_QL75_UY207_CR3,0,140,207_.jpg",February
